Filter Name ; Dimension ; Image Size ; CPU(12) (s) ; GPU (s) ; CPU/GPU Speed Ratio ; RMS Error ; RMS Relative ; Test Passed ; Run Times ; Comments
ResampleImageFilter ; 1 ; 512 ; 0.000200033 ; 0.00981545 ; 0.0203794 ; 0 ; 0 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.000730515 ; 0.0102203 ; 0.0714769 ; 0.0305732 ; 0.000637448 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.00956821 ; 0.0130019 ; 0.735908 ; 0.0194451 ; 2.10791e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.0204604 ; 0.0143123 ; 1.42957 ; 0.0268612 ; 3.93898e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 0.0676296 ; 0.0293944 ; 2.30076 ; 0.0192165 ; 2.03304e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 0.198805 ; 0.081002 ; 2.45433 ; 0.0423468 ; 6.69119e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 1 ; 512 ; 0.000360012 ; 0.192886 ; 0.00186645 ; 0 ; 0 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.011312 ; 0.190852 ; 0.0592711 ; 0.0131041 ; 0.00026939 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.103291 ; 0.176674 ; 0.584641 ; 0.123484 ; 0.00013648 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.21586 ; 0.210231 ; 1.02678 ; 0.028458 ; 4.16092e-05 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 1.99917 ; 0.267848 ; 7.46381 ; 0.171959 ; 0.000183969 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 8.0638 ; 0.548281 ; 14.7074 ; 0.0475047 ; 7.36509e-05 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : AffineTransform
ResampleImageFilter ; 1 ; 512 ; 0.000414848 ; 0.00969028 ; 0.0428107 ; 0 ; 0 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.00917912 ; 0.00959969 ; 0.956189 ; 0.139402 ; 0.00282353 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.194642 ; 0.0118337 ; 16.4481 ; 3.53144 ; 0.00380902 ; No ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.354064 ; 0.0138643 ; 25.5378 ; 0.222633 ; 0.000324692 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 2.81896 ; 0.0399194 ; 70.6164 ; 0.0899188 ; 9.47295e-05 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 10.2072 ; 0.329069 ; 31.0186 ; 0.863089 ; 0.00132457 ; No ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 1 ; 512 ; 0.000124454 ; 0.0119567 ; 0.0104088 ; 0 ; 0 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.00933242 ; 0.0100517 ; 0.928439 ; 0 ; 0 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.19408 ; 0.0119615 ; 16.2254 ; 5.00216 ; 0.00542775 ; No ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.348176 ; 0.0141673 ; 24.576 ; 0.0191008 ; 2.79621e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 2.85271 ; 0.0381932 ; 74.6916 ; 0.0128114 ; 1.35414e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 10.0779 ; 0.352392 ; 28.5986 ; 0.0385044 ; 5.91265e-05 ; Yes ; 1 ; Interpolator : LinearInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 1 ; 512 ; 0.000460863 ; 0.215464 ; 0.00213893 ; 0 ; 0 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.0194435 ; 0.190482 ; 0.102076 ; 0.00753115 ; 0.000154243 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 100x100x100 ; 0.278122 ; 0.176358 ; 1.57703 ; 1.94091 ; 0.00214515 ; No ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 115x157x129 ; 0.582358 ; 0.184913 ; 3.14936 ; 0.0211749 ; 3.09011e-05 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 256x256x256 ; 4.84922 ; 0.307694 ; 15.7599 ; 0.174559 ; 0.000186395 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 3 ; 512x512x256 ; 18.3057 ; 0.658588 ; 27.7954 ; 0.0434161 ; 6.54761e-05 ; Yes ; 1 ; Interpolator : BSplineInterpolateImageFunction, Transform : BSplineTransform
ResampleImageFilter ; 2 ; 256x256 ; 0.000261307 ; 0.0122137 ; 0.0213945 ; 0 ; 0 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : CompositeTransform [TranslationTransform]
ResampleImageFilter ; 3 ; 100x100x100 ; 0.00485015 ; 0.0121367 ; 0.399627 ; 28.0555 ; 0.0302089 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : CompositeTransform [TranslationTransform]
ResampleImageFilter ; 3 ; 115x157x129 ; 0.00910354 ; 0.0134113 ; 0.678797 ; 0 ; 0 ; Yes ; 1 ; Interpolator : NearestNeighborInterpolateImageFunction, Transform : CompositeTransform [TranslationTransform]
